Name of the restaurant,Address ,Cooking-waste,storage waste,customer leftovers,weekly wastage,management frequency,additional steps,cooks training-frequency,last-minute adjustments,Rating
Narendra Hotel ,"Khargone, Madhya Pradesh",Rarely,never,Occasionally,Very little,Frequently,I give to a community compost,Always,Occasionally,5
Hotel Devraj Palace,"Maheshwar, Madhya Pradesh ",Rarely,never,Rarely,Never,Frequently,Nothing,Frequently,Rarely,4
Indian Heritage Food,"Maheshwar, Madhya Pradesh ",Never,never,never,Never,Always,I give to a community compost,Always,Never,5
Mezban family restaurant,"Near TVs showroom, pkd road , hindupur 515201",Rarely,never,Frequently,More than you should,Always,Nothing,Always,Occasionally,4
Mirchi restaurant ,"Rahamathpur circle, hindupur ",Never,Rarely,Always,More than you should,Frequently,Nothing,Frequently,Rarely,3
Palla residency family hotel,"Railway road, hindupur ",Never,Occasionally,Occasionally,A reasonable amount,Frequently,"I have a compost heap, I have a worm farm",Frequently,Rarely,5
Silver spoon restaurant ,"MGM ground opt , bypass road, hindupur ",Never,Rarely,Frequently,A reasonable amount,Frequently,"I have a compost heap, I give to a community compost",Frequently,Always,5
Sindhuri veg hotel,"Ghandi circle, market ,hindupur",Occasionally,Always,Always,More than you should,Frequently,Nothing,Occasionally,Rarely,4
Ghumaghumalu family restaurant,"Melapuram, hindupur ",Rarely,Occasionally,Always,More than you should,Always,I have chickens,Frequently,Never,5
Savory,"Frazer town,mosque road",Never,never,Occasionally,Very little,Always,I give to a community compost,Always,Occasionally,5
Empire,"Frazer town,mosque road",Rarely,never,Frequently,Very little,Always,Nothing,Always,Rarely,5
Cafe arabicana,"Frazer town,mosque road",Never,never,Rarely,Never,Always,I have a compost heap,Always,Occasionally,5
Nu air cafe,"Coles road , Frazer town",Rarely,Rarely,Frequently,Very little,Always,I have a compost heap,Always,Occasionally,5
Royal Peng - Win Multi Cuisine Restaurant,"Telecom Nagar,Andhra Pradesh 518002",Occasionally,Rarely,Rarely,Very little,Frequently,I give to a community compost,Frequently,Rarely,4
Dominos,"Coles road , Fazer town ",Rarely,never,Occasionally,A reasonable amount,Always,I have a compost heap,Always,Rarely,5
Pizza hut ,Coles road Frazer town,Rarely,never,Occasionally,Never,Always,I have a compost heap,Always,Occasionally,5
Pot Biryani,"Nandyal Road, opp. Bishop Church, Brundavan Nagar, Sree Rama Nagar, Kurnool, Andhra Pradesh 518002",Frequently,Occasionally,Rarely,More than you should,Always,I have a worm farm,Frequently,Always,3
Meat & Eat,"Kurnool, Andhra Pradesh 518002",Occasionally,Frequently,Rarely,A reasonable amount,Frequently,I have a compost heap,Frequently,Always,5
Sree Divya Family Restaurant. Pot Biryani,"Kurnool, Andhra Pradesh 518002",Never,Rarely,Occasionally,More than you should,Always,Nothing,Occasionally,Rarely,5
Grill Restro,"Nandyal Check Post, Andhra Pradesh 518002",Always,Frequently,Occasionally,Very little,Rarely,I give to a community compost,Frequently,Occasionally,4
Athidi Family Restaurant,"Kurnool, Andhra Pradesh 518002",Frequently,Occasionally,Frequently,A reasonable amount,Frequently,I give to a community compost,Occasionally,Frequently,5
Prasanna Lakshmi Mess,"Kurnool, Andhra Pradesh 518002",Occasionally,Frequently,Always,More than you should,Occasionally,I give to a community compost,Frequently,Occasionally,5
YUMMPY'S KURNOOL,"Kurnool, Andhra Pradesh 518003",Frequently,Frequently,Frequently,More than you should,Frequently,I have chickens,Frequently,Frequently,4
Absolute Barbecue yelhanka,"Ambedkar colony, yelhanka, 560064",Frequently,Occasionally,Frequently,A reasonable amount,Always,I have a worm farm,Frequently,Occasionally,5
Paranda,"restaurantsTaj, yeswanthpur Tumkur road",Occasionally,Frequently,Frequently,Very little,Always,I have a compost heap,Always,Occasionally,4
Pongali Grand And Basmathi Royal,"Nandyal Road, Sri Nagar Colony, Kurnool, Andhra Pradesh 518002",Occasionally,Occasionally,Occasionally,A reasonable amount,Occasionally,Nothing,Occasionally,Occasionally,4
Hotel Kanteerava,"kanthirava layout, nanini layout banglore 560096",Frequently,Always,Rarely,A reasonable amount,Frequently,I give to a community compost,Always,Occasionally,5
Shimmer,"restaurant taj, 2275,tumkur road",Occasionally,Frequently,Rarely,Very little,Always,I have a worm farm,Frequently,Occasionally,5
AB's Pizzeria,"beside KSR Convention, Kurnool",Rarely,Occasionally,Frequently,A reasonable amount,Frequently,Nothing,Frequently,Frequently,5
Hotel Elite Restaurant,"Tumkur Road, yeswanthpur, 560022",Frequently,Frequently,Occasionally,A reasonable amount,Frequently,I give to a community compost,Frequently,Frequently,5
Sandeep Restaurant,"Tumkur road, yeswanthpur, 560022",Always,Frequently,Occasionally,A reasonable amount,Always,I have a worm farm,Frequently,Occasionally,5
Pakwan restaurant,"Rajanukunte, Bangalore",Frequently,Occasionally,Frequently,A reasonable amount,Occasionally,Nothing,Rarely,Occasionally,4
Pakwan restaurant,"Rajanukunte, Bangalore",Frequently,Occasionally,Frequently,A reasonable amount,Occasionally,Nothing,Rarely,Occasionally,4
Hotel poornima,"Rajanukunte, Bangalore",Occasionally,Rarely,never,Very little,Rarely,Nothing,Rarely,Rarely,3
Taj hotel,"Rajanukunte, Bangalore",Frequently,Occasionally,never,A reasonable amount,Rarely,Nothing,Never,Never,3
Biryani point,"Rajanukunte, Bangalore",Never,Occasionally,Rarely,A reasonable amount,Rarely,Nothing,Never,Never,2
Domino's,"Singanayakanahalli, Bangalore",Occasionally,never,Frequently,A reasonable amount,Never,Nothing,Always,Rarely,3
Vyshnavi grand,"Rajanukunte, Bangalore",Rarely,Frequently,Frequently,More than you should,Rarely,Nothing,Frequently,Rarely,3
Benne Dosa Camp,"Rajanukunte, Bangalore",Rarely,Rarely,Rarely,Very little,Always,Nothing,Frequently,Rarely,4
